Numero billet;Commande;Reservation;Date reservation;Heure reservation;Cle spectacle;Spectacle;Cle representation;Representation;Date representation;Heure representation;Date fin representation;Heure fin representation;Prix;Date acces;Heure acces;Tarif;Type de client;Type de produit;Serie;Etage;Filiere de vente;Nom;Prenom;Email;Adresse;Code postal;Pays;Age;Sexe
1400222;;843989;04/06/15 00:00;16:26:04;476;FEMME NON-REEDUCABLE;3191;FEMME NON-REEDUCABLE;10/10/14;20:00:00;10/10/14;22:00:00;27.0000;10/10/14;19:49:11;Abonnement mouettes;Client;Abonnement;1er Serie;CORBEILLE;GUICHET;KEBIR;Fran’_ois-Jean;Fran’_ois-Jean.KEBIR@mail.fr;7 rue des Acinonyx jubatus;69110;France;57;F
1400223;;843990;04/06/15 00:00;16:26:04;477;G’©n’©rale Publique Fever;3204;G’©n’©rale Publique Fever;05/11/14;20:00:00;05/11/14;21:30:00;27.0000;05/11/14;19:52:17;Abonnement mouettes;Client;Abonnement;1er Serie;CORBEILLE;GUICHET;KEBIR;Fran’_ois-Jean;Fran’_ois-Jean.KEBIR@mail.fr;7 rue des Acinonyx jubatus;69110;France;57;F
1400225;;843991;04/06/15 00:00;16:26:04;479;L'HISTOIRE TERRIBLE... 2e EPOQUE;3218;L'HISTOIRE TERRIBLE... 2e EPOQUE;28/11/14;20:00:00;28/11/14;23:30:00;27.0000;28/11/14;19:52:07;Abonnement mouettes;Client;Abonnement;1er Serie;CORBEILLE;GUICHET;KEBIR;Fran’_ois-Jean;Fran’_ois-Jean.KEBIR@mail.fr;7 rue des Acinonyx jubatus;69110;France;57;F
1400228;;843992;04/06/15 00:00;16:26:04;482;LE ROI LEAR;3257;LE ROI LEAR;14/01/15;20:00:00;14/01/15;21:40:00;27.0000;14/01/15;19:57:08;Abonnement mouettes;Client;Abonnement;1er Serie;ORCHESTRE;GUICHET;KEBIR;Fran’_ois-Jean;Fran’_ois-Jean.KEBIR@mail.fr;7 rue des Acinonyx jubatus;69110;France;57;F
1400229;;843986;04/06/15 00:00;16:26:04;483;JE SUIS;3268;JE SUIS;16/01/15;20:00:00;16/01/15;21:30:00;15.0000;;;Abonnement mouettes;Client;Abonnement;Serie unique;;GUICHET;KEBIR;Fran’_ois-Jean;Fran’_ois-Jean.KEBIR@mail.fr;7 rue des Acinonyx jubatus;69110;France;57;F
1400231;;843994;04/06/15 00:00;16:26:04;499;HATE RADIO;3393;HATE RADIO;23/01/15;20:30:00;23/01/15;22:00:00;31.0000;;;Abonnement mouettes;Client;Abonnement;Serie unique;PARTERRE;GUICHET;KEBIR;Fran’_ois-Jean;Fran’_ois-Jean.KEBIR@mail.fr;7 rue des Acinonyx jubatus;69110;France;57;F
1400233;;843993;04/06/15 00:00;16:26:04;485;CEUX QUE J'AI RENCONTRE...;3299;CEUX QUE J'AI RENCONTRE...;06/02/15;20:00:00;06/02/15;23:30:00;27.0000;06/02/15;19:58:19;Abonnement mouettes;Client;Abonnement;1er Serie;ORCHESTRE;GUICHET;KEBIR;Fran’_ois-Jean;Fran’_ois-Jean.KEBIR@mail.fr;7 rue des Acinonyx jubatus;69110;France;57;F
1400235;;843987;04/06/15 00:00;16:26:04;490;LEBEN DES GALILEI;3329;LEBEN DES GALILEI;20/03/15;20:00:00;20/03/15;22:00:00;27.0000;20/03/15;19:54:27;Abonnement mouettes;Client;Abonnement;1er Serie;CORBEILLE;GUICHET;KEBIR;Fran’_ois-Jean;Fran’_ois-Jean.KEBIR@mail.fr;7 rue des Acinonyx jubatus;69110;France;57;F
1491869;346789;838354;02/06/15 00:00;10:28:43;497;QUARTETT;3372;QUARTETT;02/06/15;20:00:00;02/06/15;21:00:00;12.0000;;;Tarif Promo -26 ans;Client;Place individuelle;1er Serie;ORCHESTRE;DIGITICK;BOUREFIS LHOSTE;MARIKA;MARIKA.BOUREFIS LHOSTE@mail.fr;52 rue Babyrousa babyrusa;69004;France;;F
1491870;346789;838354;02/06/15 00:00;10:28:43;497;QUARTETT;3372;QUARTETT;02/06/15;20:00:00;02/06/15;21:00:00;12.0000;;;Tarif Promo -26 ans;Client;Place individuelle;1er Serie;ORCHESTRE;DIGITICK;BOUREFIS LHOSTE;MARIKA;MARIKA.BOUREFIS LHOSTE@mail.fr;52 rue Babyrousa babyrusa;69004;France;;F
1491871;346792;838375;02/06/15 00:00;10:28:43;497;QUARTETT;3372;QUARTETT;02/06/15;20:00:00;02/06/15;21:00:00;12.0000;;;Tarif Promo -26 ans;Client;Place individuelle;1er Serie;CORBEILLE;DIGITICK;SIGRIST;Camilla;Camilla.SIGRIST@mail.fr;145 Av Cacajao calvus;69007;France;;H
1491872;346800;838453;02/06/15 00:00;10:28:43;497;QUARTETT;3376;QUARTETT;06/06/15;20:00:00;06/06/15;21:00:00;12.0000;;;Tarif Promo -26 ans;Client;Place individuelle;1er Serie;CORBEILLE;DIGITICK;BETHENCOURT;ENRICO;ENRICO.BETHENCOURT@mail.fr;145 Av Cacajao calvus;69007;France;;
1491873;346800;838453;02/06/15 00:00;10:28:43;497;QUARTETT;3376;QUARTETT;06/06/15;20:00:00;06/06/15;21:00:00;20.0000;;;Tarif Internaute;Client;Place individuelle;1er Serie;CORBEILLE;DIGITICK;BETHENCOURT;ENRICO;ENRICO.BETHENCOURT@mail.fr;145 Av Cacajao calvus;69007;France;;
1491874;346812;838564;02/06/15 00:00;10:28:43;497;QUARTETT;3372;QUARTETT;02/06/15;20:00:00;02/06/15;21:00:00;12.0000;;;Tarif Promo -26 ans;Client;Place individuelle;1er Serie;ORCHESTRE;DIGITICK;SORLIN;Hacene;Hacene.SORLIN@mail.fr;11 rue Dacelo leachii;70400;France;;H
1491875;346812;838564;02/06/15 00:00;10:28:43;497;QUARTETT;3372;QUARTETT;02/06/15;20:00:00;02/06/15;21:00:00;20.0000;;;Tarif Internaute;Client;Place individuelle;1er Serie;ORCHESTRE;DIGITICK;SORLIN;Hacene;Hacene.SORLIN@mail.fr;11 rue Dacelo leachii;70400;France;;H
